category_id,category_name,channel_id,country,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
23,Comedy,UCi9cDo6239RAzPpBZO9y5SA,United States,12342108,42266,,https://yt3.ggpht.com/a-/AN66SAykLBzK5ACebS6THfW1cCecZcaLdNjRLjVkJA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCi9cDo6239RAzPpBZO9y5SA,Lele Pons,Lele Pons - Celoso | Live from Latin American Music Awards (2018),https://www.youtube.com/watch?v=2XTLQEaKPII,97
27,Education,UCcdwLMPsaU2ezNSJU1nFoBQ,United States,12341468,40891,,https://yt3.ggpht.com/a-/AN66SAwBYPfQHhqd7ku5C0Ojb3Z2xbRoTxWGlqsz2w=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ,Pinkfong! Kids' Songs & Stories,Baby Shark | Animal Songs | PINKFONG Songs for Children,https://www.youtube.com/watch?v=XqZsoesa55w,1057
26,Howto & Style,UCR4s1DE9J4DHzZYXMltSMAg,Australia,12310750,40885,,https://yt3.ggpht.com/a-/AN66SAyPSF1_YS6kZ0b6havsNWAI77uEeGLel4PAew=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCR4s1DE9J4DHzZYXMltSMAg,HowToBasic,How To Build a Gaming PC,https://www.youtube.com/watch?v=PZl944T4x-U,484
24,Entertainment,UCk8GzjMOrta8yxDcKfylJYw,Ukraine,12293480,42136,,https://yt3.ggpht.com/a-/AN66SAzjrX9GXSHKeVxHyKdCVVtqDKvvQSroaNH8MQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,Rain Rain Go Away Song with Diana's Family,https://www.youtube.com/watch?v=UVLFsHRBIKk,505
23,Comedy,UCfm4y4rHF5HGrSr-qbvOwOg,Canada,14455660,40480,,https://yt3.ggpht.com/a-/AN66SAwEg4okaLNU7HrU3RYz7ZN6umeOGQs1JYT7_A=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCfm4y4rHF5HGrSr-qbvOwOg,IISuperwomanII,Girl Talk As You Grow Up,https://www.youtube.com/watch?v=-5OfFk5c01o,756
23,Comedy,UCPDis9pjXuqyI7RYLJ-TTSA,United States,14269143,40729,,https://yt3.ggpht.com/a-/AN66SAynAHusjZ5LWkvdXQwfhutOmWbX-xgwopRs3A=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCPDis9pjXuqyI7RYLJ-TTSA,FailArmy,"There Was An Attempt, Then A Fail (March 2018) | FailArmy",https://www.youtube.com/watch?v=YCKI4FtezDk,700
24,Entertainment,UC_W0_Nv-3rxpWVvosddhrPw,España,11802696,41254,,https://yt3.ggpht.com/a-/AN66SAyVOZngmizIZVYq7BWtRPYWWk088j3f7SVojQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC_W0_Nv-3rxpWVvosddhrPw,Doggy Doggy Cartoons,SUPERHERO BABIES HALLOWEEN COSTUMES ❤ SUPERHERO PLAY DOH CARTOONS FOR KIDS,https://www.youtube.com/watch?v=kcHVPCwfky4,1121
10,Music,UCcvNYxWXR_5TjVK7cSCdW-g,India,11785355,40812,,https://yt3.ggpht.com/a-/AN66SAy57MPV-A9tlendpQt1d9d-xrImm7Jb9aZnug=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,Pyar Nahi Ghatda: Sippy Gill Ft Hritiqa Chheber (Full Song) Desi Routz | Maninder Kailey,https://www.youtube.com/watch?v=LZkT6ZKa68k,3595
10,Music,UCyxbZF7_PK4nLiexj0kkCNg,United States,11659764,38632,,https://yt3.ggpht.com/a-/AN66SAyV5YQIDAvvir69XepdQ4Yg0z75rd6224IU4w=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCyxbZF7_PK4nLiexj0kkCNg,Romeo Santos,Romeo Santos - Centavito (Official Video),https://www.youtube.com/watch?v=RjMWh1vve6E,14
24,Entertainment,UCUK0HBIBWgM2c4vsPhkYY4w,United States,11619429,40405,,https://yt3.ggpht.com/a-/AN66SAyJ1vIb1d4ILPaZNZtVB7YD5KErfgnBMxpZYA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCUK0HBIBWgM2c4vsPhkYY4w,The Slow Mo Guys,"Rainbow Paint on a Speaker - 12,500fps - The Slow Mo Guys",https://www.youtube.com/watch?v=4lm75v4Ndlg,228
10,Music,UCFFbwnve3yF62-tVXkTyHqg,India,26480206,41710,,https://yt3.ggpht.com/a-/AN66SAyBTirQtB9GQIEPJawe62WIvVSKWyJa6B7YMA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,"Dirty Girl Ft. Sunny Leone | Karishma Tanna | Enbee , Ikka Singh , Shivangi Bhayana",https://www.youtube.com/watch?v=kwM2ApskJy4,3583
22,People & Blogs,UCYLNGLIzMhRTi6ZOLjAPSmw,Colombia,23868570,38641,,https://yt3.ggpht.com/a-/AN66SAwA6yeEDAUG__enP91bZGCaHUhWw-SgOwMrEA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,Shakira - Nada (Official Video...,https://www.youtube.com/watch?v=UjX10jO-p3c,235
10,Music,UCaayLD9i5x4MmIoVZxXSv_g,India,13358271,40587,,https://yt3.ggpht.com/a-/AN66SAzpyOvigK0kNCEbeIDL1wb9K8A4gZviHmp1aA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar,"शनिवार Special भजन: बजरंग बाण,शनि अमृतवाणी,Bajrang Baan, Shani Amritwani,HARIHARAN,ANURADHA PAUDWAL",https://www.youtube.com/watch?v=ZmOIPOSJAys,19738
24,Entertainment,UCjtLOfx1yt1NlnFIDyAX3Ug,Great-Britain,13327230,41116,,https://yt3.ggpht.com/a-/AN66SAz2dmNSjz2vaQQnK3PlIGF0KCHr6I6LhK9vFw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCjtLOfx1yt1NlnFIDyAX3Ug,W2S,THE MOST LEGENDARY FIFA 19 PACK OPENING IN HISTORY,https://www.youtube.com/watch?v=M8tqhDCdPfs,642
23,Comedy,UCxSz6JVYmzVhtkraHWZC7HQ,United States,16277486,41519,,https://yt3.ggpht.com/a-/AN66SAyLvWcxii9b2TC3Q4MazXDiy_1cFLWvWdA7eg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCxSz6JVYmzVhtkraHWZC7HQ,Liza Koshy,Pilot - Liza on Demand (Ep 1),https://www.youtube.com/watch?v=5aqlLkrCWvA,148
1,Film and Animation,UC3gNmTGu-TTbFPpfSs5kNkg,United States,19415744,38835,,https://yt3.ggpht.com/a-/AN66SAw3dLdOWmdof9KzBWdm3bgzb0ls_jR_VSvVxQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,How to Survive a Horror Movie | Movieclips,https://www.youtube.com/watch?v=QQCv4rxlHVg,30768
10,Music,UC_aEa8K-EOJ3D6gOs7HcyNg,Great-Britain,19243505,40769,,https://yt3.ggpht.com/a-/AN66SAyuj-UVQlZkaTJxbqDCLcxrsFiP9-aeZwTOQw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,Diamond Eyes - Flutter [NCS Release],https://www.youtube.com/watch?v=lEHM9HZf0IA,547
